ct20_id,flip_ind_sum
25017341600,64
25017350202,44
25017383501,21
25017336300,120
25025030301,47
25017355000,24
25023503102,111
25009210402,63
25021401202,19
25009217602,37
25009208401,27
25017358300,99
25017352102,39
25017358400,99
25017333601,13
25025070302,53
25025110401,32
25025000804,32
25025101101,31
25025081400,36
25025160502,70
25025092300,41
25025070102,73
25009221700,25
25017331300,133
25009203302,72
25021443106,75
25009221100,45
25009210301,33
25017366201,46
25025092400,60
25009206700,54
25009223200,75
25027715100,75
25017322200,86
25017352900,28
25009210200,68
25017383904,87
25025061204,18
25023504102,77
25009210500,86
25017350300,45
25021442104,66
25009209100,102
25025130101,71
25025010500,14
25025010600,35
25017324101,116
25021413500,39
25021404201,76
25021416300,65
25025081301,4
25025010802,70
25025080100,23
25017351500,27
25017383600,84
25017374100,85
25021420302,128
25025070104,75
25009206800,49
25017331102,128
25025020200,48
25017332402,6
25025180301,34
25009211402,71
25009217201,48
25021405100,98
25017342402,34
25023500101,84
25023505202,118
25017332100,105
25023500104,93
25017339200,59
25009204200,99
25009209200,74
25017382200,96
25021442105,34
25009217601,62
25017358700,142
25017338200,97
25009210800,65
25009221800,23
25025082100,19
25021417400,47
25021401100,46
25021421100,140
25021443103,109
25025020304,1
25017335100,68
25025040600,68
25021403501,37
25021417201,46
25027741102,54
25017353000,16
25025160501,49
25023507104,75
25017363103,21
25017333300,64
25025140107,25
25025140102,53
25025160300,47
25017351403,48
25017333602,91
25009222100,43
25017341301,14
25017330102,98
25017382500,83
25021402500,36
25017359303,145
25021400100,32
25025120104,20
25017383700,85
25017383903,37
25023506104,52
25021404302,111
25017354200,17
25009203301,74
25023501101,65
25025091200,26
25017334400,136
25017331101,49
25017365202,58
25009211401,50
25017332300,115
25017332202,37
25009221400,37
25009221902,70
25025040300,86
25017352500,25
25025170702,49
25025000302,25
25025000604,9
25021422700,76
25017333502,47
25017373400,35
25017384003,65
25009204300,56
25021404400,88
25025180400,28
25009210700,72
25017341500,55
25009221300,65
25017366100,76
25017351204,52
25017373500,75
25021418201,87
25025081102,19
25017358600,151
25017333400,83
25017368101,73
25021400900,36
25025051101,29
25009211100,74
25025081500,29
25021402400,90
25009220101,82
25009223300,78
25025061201,41
25025100500,70
25017322100,74
25021411200,98
25025080900,14
25017339500,29
25017357100,49
25009217402,72
25017338500,83
25021413401,25
25021457200,161
25009216100,53
25017359100,107
25017350400,63
25025140300,65
25017363106,41
25021442203,49
25017354602,21
25017334300,101
25017353800,27
25021442103,75
25009217102,49
25009206200,72
25021418004,59
25017339400,22
25017331200,96
25017350108,41
25017373902,83
25025091600,39
25021422402,65
25017341800,70
25017382601,99
25025170400,90
25009221500,40
25021413100,54
25009204101,76
25009210401,33
25021417703,13
25017351300,36
25025050400,22
25017342401,23
25017351001,41
25025082000,34
25021417801,107
25009204400,89
25021423101,67
25025120301,35
25025091700,22
25017356400,156
25025051200,29
25009206900,51
25017342201,60
25023505103,51
25021408102,76
25017339600,36
25025110105,17
25025120201,16
25021417704,25
25017382100,127
25025110501,32
25025080300,12
25025060400,75
25017374000,131
25017370301,38
25017351203,35
25025020101,78
25017373100,81
25017342302,28
25017382602,98
25017350701,32
25025101001,57
25025080601,2
25017358500,148
25023502102,95
25021420101,77
25017368800,56
25021417300,51
25017330101,52
25021404100,96
25025100601,71
25017332401,53
25025100300,70
25009206600,90
25017356300,85
25025080401,5
25017361100,114
25017321302,59
25025000805,13
25025160602,38
25017350109,14
25025030200,23
25021417100,54
25021422600,99
25009220102,42
25021417901,68
25025170601,77
25025090400,31
25021419800,54
25009217300,78
25017354700,26
25017334100,66
25017357700,35
25017351101,43
25017383502,51
25017339700,26
25021400800,56
25017354800,11
25017321500,95
25017383300,32
25021400401,41
25009204600,131
25017341400,73
25025000704,18
25025110403,65
25017370401,39
25017368400,38
25017354901,5
25027744300,54
25025050901,39
25023506102,87
25009215101,58
25025160400,36
25025110601,17
25025100700,34
25017356500,162
25021412200,45
25017359400,49
25021415101,73
25025090300,31
25017324102,62
25017387201,101
25025170502,75
25021403100,235
25017374700,51
25017357600,22
25025140201,18
25017335301,68
25021406101,69
25025060604,19
25025160200,25
25009202200,92
25025091001,36
25017365201,108
25017367200,86
25009212102,71
25021415300,57
25025081700,26
25025000401,23
25025000603,4
25017339102,40
25025090600,16
25017338400,83
25017383101,31
25025050200,42
25025061000,26
25025000102,13
25017368902,24
25021400500,71
25017321301,53
25017383200,66
25017363104,82
25017354100,22
25021418002,63
25025100900,63
25025070402,3
25009202104,77
25021422501,78
25025010801,67
25021442201,36
25017335302,69
25025050101,39
25025090200,24
25023504101,75
25025140202,52
25017370402,12
25021400700,48
25025030500,31
25025170302,23
25017370403,26
25025140105,35
25021416400,60
25021415202,20
25009211201,74
25017351002,33
25025070301,41
25025050600,38
25023506103,56
25017356704,40
25017368300,64
25017368500,20
25017353300,35
25021412300,57
25009208302,100
25017356601,51
25023505104,78
25025060501,94
25025091100,42
25021415201,43
25017356602,80
25017356701,72
25025170800,61
25021402101,52
25021422100,94
25023503101,97
25021411102,68
25009203200,66
25017358100,91
25025092101,71
25017321600,73
25025170701,33
25009205200,132
25021422301,49
25017368102,97
25025050500,7
25025040401,40
25023502101,108
25025070600,51
25017352800,7
25021411302,43
25017373700,57
25017337201,37
25025050300,9
25021419400,38
25017362100,66
25017361300,123
25021409101,66
25021415103,73
25021407101,79
25017383902,71
25021456301,16
25021456101,58
25025110607,50
25025050700,49
25021422401,29
25021414300,84
25025000101,5
25021400300,49
25017351102,27
25025061203,50
25025010702,63
25017351404,56
25025100800,61
25017373800,73
25025040801,26
25009204500,89
25025160601,40
25017357200,30
25025000506,13
25017341700,76
25017333100,69
25021422800,99
25021421200,143
25025030100,14
25017337300,76
25021456302,87
25025070202,8
25021422304,33
25021418102,35
25017383800,129
25017368901,52
25017374400,95
25017356100,54
25009214100,70
25025010205,9
25025160102,58
25017354902,41
25017335200,82
25025081900,18
25021400402,20
25021422303,89
25021441202,53
25017370101,88
25025090700,47
25009217202,50
25025100100,36
25025110201,16
25017342301,17
25017368600,56
25017364102,98
25017350600,25
25025030400,45
25009210900,38
25017374600,79
25025170101,47
25009205100,124
25009202101,44
25025180200,54
25017374500,44
25021402300,69
25017388100,74
25021400202,19
25021400600,67
25025160103,27
25009217401,34
25009217500,81
25009206400,152
25017370103,58
25017339101,41
25025100400,43
25017321200,62
25025130402,74
25017336402,61
25025010206,10
25021419700,100
25017335400,66
25021407102,65
25017352700,14
25023502200,92
25017374200,73
25017352200,10
25009204702,124
25021404202,63
25025000301,14
25017374800,48
25009217101,43
25025060301,55
25009218100,55
25017350900,32
25021415104,56
25017322400,73
25017339802,44
25025010701,65
25017354000,29
25025000402,13
25025080500,8
25017320106,73
25025090100,47
25023501102,184
25017353700,11
25017383401,18
25009221600,37
25009208102,69
25021402102,89
25023500103,46
25017338100,61
25009207000,19
25025060800,93
25017386100,35
25021409102,74
25017350201,27
25009212101,72
25021404301,220
25023501201,50
25017361200,92
25025071101,70
25017342501,35
25017352600,16
25017357800,57
25017350107,10
25017353101,15
25017321100,67
25023505201,44
25021442204,58
25021403502,140
25021419100,73
25017339900,65
25021456200,62
25023501204,52
25025060101,55
25021456102,72
25017352300,24
25025070201,21
25021422202,110
25021412100,100
25017321400,39
25009204102,70
25025130404,40
25017368700,30
25025081001,17
25017342101,59
25021420102,87
25017354300,18
25021420202,91
25009208200,91
25021416102,34
25025071201,19
25021456402,70
25021422502,101
25017320102,73
25017364101,117
25017322300,96
25021410400,84
25025101002,40
25025010404,13
25021413300,36
25025130200,50
25017350500,9
25017341200,34
25009201100,36
25021403400,141
25025060200,31
25021413402,40
25017382400,92
25025010300,5
25017353900,6
25025000703,3
25025170503,48
25025100603,42
25023506203,97
25021413201,75
25017370202,49
25023505102,93
25017373300,34
25021416101,80
25017352101,65
25025092000,41
25021413202,24
25021410100,101
25021417602,46
25021417601,47
25017341904,29
25009206000,35
25017373901,104
25025070501,42
25025091300,28
25017320105,48
25017330202,72
25017340000,33
25017341901,34
25023506205,20
25025120500,20
25025010403,17
25017369100,64
25009221901,42
25025092200,25
25017382300,111
25021443105,62
25017337102,83
25025091500,61
25017350800,29
25025091900,51
25025140400,93
25009205800,78
25017338300,36
25023507103,76
25027741101,74
25017336100,79
25021442101,75
25025000503,18
25017373200,60
25017357300,15
25025180101,68
25017336201,35
25017383102,35
25017385203,93
25009204701,94
25017340100,106
25025000806,2
25009208101,95
25017370201,34
25021423102,79
25025000202,18
25017339300,35
25021403300,121
25025091800,46
25025101102,59
25021441204,70
25017373600,70
25009206500,67
25021400201,29
25025051000,27
25017356703,45
25017357500,14
25021420301,150
25025100200,36
25023507101,72
25009205700,92
25021419200,54
25025030302,7
25009205300,105
25021417502,44
25017353600,11
25025130300,54
25009203100,91
25017385201,36
25025040100,25
25009211202,89
25021419602,84
25017387100,74
25023508101,138
25023508102,128
25017366202,73
25025010104,52
25021408103,27
25017370104,44
25021419300,38
25017330201,75
25017341102,28
25017368200,49
25021401201,41
25017341101,39
25017374300,58
25023506206,69
25017334200,65
25009205500,91
25021417702,29
25025070700,24
25009205900,76
25027744102,64
25017333200,52
25009210100,81
25021417501,38
25017336404,40
25023501203,17
25017360300,44
25017353200,16
25021411301,72
25017342202,43
25009208402,33
25017342600,39
25025170200,43
25027744400,53
25025070502,47
25017387202,65
25025070902,44
25025070802,40
25025000701,12
25017363105,33
25025080801,2
25017363202,43
25009210302,40
25025110502,36
25025110301,19
25017384004,17
25025120105,25
25025010204,9
25017367100,57
25025081800,47
25017337101,48
25009205600,67
25017332201,27
25025120700,12
25017333501,62
25009208301,23
25017350105,3
25017336202,35
25017365100,87
25021456401,46
25009207200,26
25021417902,39
25025000505,7
25021401000,35
25009223100,48
25017323101,47
25021406102,90
25025060601,35
25021410300,63
25027744201,32
25017320107,25
25021411101,43
25027744202,77
25025020301,15
25017354500,7
25009215102,55
25025180500,83
25021441203,65
25021417802,22
25017337202,60
25017383402,53
25017385101,10
25025170102,58
25021402200,41
25025120600,28
25009210600,50
25009211300,99
25025081302,6
25025000601,18
25021418101,46
25025000502,22
25017370302,16
25025091400,11
25017354400,20
25017341302,16
25017342502,38
25017385102,63
25017342102,30
25021420201,56
25023506202,26
25025981700,2
25021416200,107
25027744104,28
25025120400,43
25009205400,69
25027744103,43
25025020305,16
25025081101,9
25021443104,79
25017339804,8
25025010103,0
25025000201,11
25021414100,72
25017352400,14
25009206300,109
25021417202,18
25017323102,51
25023508200,84
25025170301,95
25025010405,9
25021414200,72
25025070901,5
25017357400,18
25009206100,47
25017336403,11
25025020302,27
25017363201,55
25017385204,33
25017350702,17
25017339803,19
25025981502,0
25021419500,40
25021408104,57
25025981202,10
25025170504,39
25009207100,50
25025081200,7
25025981800,4
25009202103,30
25025110104,5
25025061101,0
25025060602,1
25025070801,10
25025120103,10
25017341903,37
25025980700,4
25025040200,8
25021418003,19
25017369000,4
25017354601,22
25025130406,43
25025000807,0
25025981900,1
25021419601,14
25025140106,2
25025060603,0
25025980300,4
25025110106,8
25025981100,0
25025010408,8
25021422201,3
,3
25025981000,1
25017353102,0
25017350106,1
25025070103,4
25025981201,1
25025061202,0
